	gset	source	perc	type	value
335	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.272641559000686
336	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.4622584236490512
337	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.9759010791975448
338	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8899967537825451
339	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8152537378276078
340	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8858065688060096
341	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.393817727463265
342	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.7245214243524609
343	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.5388135497410383
344	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6457548663586758
345	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.965036098080292
346	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6069759860175878
347	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.6991559099092034
348	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.8086721939148448
349	ADaM2021	Brunello	0.05	"Random
subsampled RTs"	0.3351259362694563
