	gset	source	perc	value	type
110	ADaM2021	AVANA	0.9	0.9821261528239924	"MinTEs Reduced
Templates (RTs)"
111	ADaM2021	KY	0.9	0.9798408745039888	"MinTEs Reduced
Templates (RTs)"
112	ADaM2021	AVANA	0.95	0.990173543644608	"MinTEs Reduced
Templates (RTs)"
113	ADaM2021	KY	0.95	0.976137913310399	"MinTEs Reduced
Templates (RTs)"
114	Hart2017	AVANA	0.05	0.8501396647727947	"MinTEs Reduced
Templates (RTs)"
115	Hart2017	KY	0.05	0.8286270464838622	"MinTEs Reduced
Templates (RTs)"
116	Hart2017	AVANA	0.1	0.8864404892230505	"MinTEs Reduced
Templates (RTs)"
117	Hart2017	KY	0.1	0.8629201720921358	"MinTEs Reduced
Templates (RTs)"
118	Hart2017	AVANA	0.15	0.9002431337673494	"MinTEs Reduced
Templates (RTs)"
119	Hart2017	KY	0.15	0.8854094451200548	"MinTEs Reduced
Templates (RTs)"
120	Hart2017	AVANA	0.2	0.900704455349459	"MinTEs Reduced
Templates (RTs)"
121	Hart2017	KY	0.2	0.9045661231438338	"MinTEs Reduced
Templates (RTs)"
122	Hart2017	AVANA	0.25	0.8942825337021157	"MinTEs Reduced
Templates (RTs)"
123	Hart2017	KY	0.25	0.9012670022529776	"MinTEs Reduced
Templates (RTs)"
124	Hart2017	AVANA	0.3	0.9181342151631948	"MinTEs Reduced
Templates (RTs)"
125	Hart2017	KY	0.3	0.9162958023020996	"MinTEs Reduced
Templates (RTs)"
126	Hart2017	AVANA	0.35	0.9300457587316182	"MinTEs Reduced
Templates (RTs)"
127	Hart2017	KY	0.35	0.9263659362456366	"MinTEs Reduced
Templates (RTs)"
128	Hart2017	AVANA	0.4	0.9348181157182442	"MinTEs Reduced
Templates (RTs)"
129	Hart2017	KY	0.4	0.9224587019380494	"MinTEs Reduced
Templates (RTs)"
130	Hart2017	AVANA	0.45	0.9322157519226754	"MinTEs Reduced
Templates (RTs)"
131	Hart2017	KY	0.45	0.9386586838355704	"MinTEs Reduced
Templates (RTs)"
132	Hart2017	AVANA	0.5	0.9450657210729964	"MinTEs Reduced
Templates (RTs)"
133	Hart2017	KY	0.5	0.9431158018251958	"MinTEs Reduced
Templates (RTs)"
134	Hart2017	AVANA	0.55	0.9384587288853644	"MinTEs Reduced
Templates (RTs)"
135	Hart2017	KY	0.55	0.947511898273624	"MinTEs Reduced
Templates (RTs)"
136	Hart2017	AVANA	0.6	0.9532228268029288	"MinTEs Reduced
Templates (RTs)"
137	Hart2017	KY	0.6	0.9471818368923324	"MinTEs Reduced
Templates (RTs)"
138	Hart2017	AVANA	0.65	0.9586094551389872	"MinTEs Reduced
Templates (RTs)"
139	Hart2017	KY	0.65	0.95940444060987	"MinTEs Reduced
Templates (RTs)"
140	Hart2017	AVANA	0.7	0.964004304338692	"MinTEs Reduced
Templates (RTs)"
141	Hart2017	KY	0.7	0.962772418520932	"MinTEs Reduced
Templates (RTs)"
142	Hart2017	AVANA	0.75	0.9654022153182468	"MinTEs Reduced
Templates (RTs)"
143	Hart2017	KY	0.75	0.96418338925976	"MinTEs Reduced
Templates (RTs)"
144	Hart2017	AVANA	0.8	0.969463796110346	"MinTEs Reduced
Templates (RTs)"
145	Hart2017	KY	0.8	0.9690459639767032	"MinTEs Reduced
Templates (RTs)"
146	Hart2017	AVANA	0.85	0.9717676844020412	"MinTEs Reduced
Templates (RTs)"
147	Hart2017	KY	0.85	0.965165138338392	"MinTEs Reduced
Templates (RTs)"
148	Hart2017	AVANA	0.9	0.9774047411431976	"MinTEs Reduced
Templates (RTs)"
149	Hart2017	KY	0.9	0.9773165050780966	"MinTEs Reduced
Templates (RTs)"
150	Hart2017	AVANA	0.95	0.9835823480913908	"MinTEs Reduced
Templates (RTs)"
151	Hart2017	KY	0.95	0.974646606554922	"MinTEs Reduced
Templates (RTs)"
