	sub_rate	variable	value	set
5188	0.05	742	0.8427	"MinTEs Reduced
Templates (RTs) on
the training set"
5189	0.15	742	0.8064	"MinTEs Reduced
Templates (RTs) on
the training set"
5190	0.25	742	0.8367	"MinTEs Reduced
Templates (RTs) on
the training set"
5191	0.5	742	0.8442	"MinTEs Reduced
Templates (RTs) on
the training set"
5192	0.75	742	0.8302	"MinTEs Reduced
Templates (RTs) on
the training set"
5193	1	742	0.8253	"MinTEs Reduced
Templates (RTs) on
the training set"
5194	Dynamic SR	743	0.8674	"MinTEs Reduced
Templates (RTs) on
the training set"
5195	0.05	743	0.8347	"MinTEs Reduced
Templates (RTs) on
the training set"
5196	0.15	743	0.8475	"MinTEs Reduced
Templates (RTs) on
the training set"
5197	0.25	743	0.8366	"MinTEs Reduced
Templates (RTs) on
the training set"
5198	0.5	743	0.8384	"MinTEs Reduced
Templates (RTs) on
the training set"
5199	0.75	743	0.8394	"MinTEs Reduced
Templates (RTs) on
the training set"
5200	1	743	0.8076	"MinTEs Reduced
Templates (RTs) on
the training set"
5201	Dynamic SR	744	0.8638	"MinTEs Reduced
Templates (RTs) on
the training set"
5202	0.05	744	0.8212	"MinTEs Reduced
Templates (RTs) on
the training set"
5203	0.15	744	0.812	"MinTEs Reduced
Templates (RTs) on
the training set"
5204	0.25	744	0.8186	"MinTEs Reduced
Templates (RTs) on
the training set"
5205	0.5	744	0.8086	"MinTEs Reduced
Templates (RTs) on
the training set"
5206	0.75	744	0.8045	"MinTEs Reduced
Templates (RTs) on
the training set"
5207	1	744	0.8343	"MinTEs Reduced
Templates (RTs) on
the training set"
5208	Dynamic SR	745	0.8622	"MinTEs Reduced
Templates (RTs) on
the training set"
5209	0.05	745	0.8178	"MinTEs Reduced
Templates (RTs) on
the training set"
5210	0.15	745	0.8252	"MinTEs Reduced
Templates (RTs) on
the training set"
5211	0.25	745	0.8245	"MinTEs Reduced
Templates (RTs) on
the training set"
5212	0.5	745	0.8352	"MinTEs Reduced
Templates (RTs) on
the training set"
5213	0.75	745	0.8162	"MinTEs Reduced
Templates (RTs) on
the training set"
5214	1	745	0.815	"MinTEs Reduced
Templates (RTs) on
the training set"
5215	Dynamic SR	746	0.8492	"MinTEs Reduced
Templates (RTs) on
the training set"
5216	0.05	746	0.7997	"MinTEs Reduced
Templates (RTs) on
the training set"
5217	0.15	746	0.8386	"MinTEs Reduced
Templates (RTs) on
the training set"
5218	0.25	746	0.8161	"MinTEs Reduced
Templates (RTs) on
the training set"
5219	0.5	746	0.8303	"MinTEs Reduced
Templates (RTs) on
the training set"
5220	0.75	746	0.8221	"MinTEs Reduced
Templates (RTs) on
the training set"
5221	1	746	0.8199	"MinTEs Reduced
Templates (RTs) on
the training set"
5222	Dynamic SR	747	0.8602	"MinTEs Reduced
Templates (RTs) on
the training set"
5223	0.05	747	0.8533	"MinTEs Reduced
Templates (RTs) on
the training set"
5224	0.15	747	0.8374	"MinTEs Reduced
Templates (RTs) on
the training set"
5225	0.25	747	0.8338	"MinTEs Reduced
Templates (RTs) on
the training set"
5226	0.5	747	0.825	"MinTEs Reduced
Templates (RTs) on
the training set"
5227	0.75	747	0.8156	"MinTEs Reduced
Templates (RTs) on
the training set"
5228	1	747	0.836	"MinTEs Reduced
Templates (RTs) on
the training set"
5229	Dynamic SR	748	0.838	"MinTEs Reduced
Templates (RTs) on
the training set"
5230	0.05	748	0.8388	"MinTEs Reduced
Templates (RTs) on
the training set"
5231	0.15	748	0.8396	"MinTEs Reduced
Templates (RTs) on
the training set"
5232	0.25	748	0.8426	"MinTEs Reduced
Templates (RTs) on
the training set"
5233	0.5	748	0.8457	"MinTEs Reduced
Templates (RTs) on
the training set"
5234	0.75	748	0.8202	"MinTEs Reduced
Templates (RTs) on
the training set"
5235	1	748	0.8327	"MinTEs Reduced
Templates (RTs) on
the training set"
5236	Dynamic SR	749	0.8378	"MinTEs Reduced
Templates (RTs) on
the training set"
5237	0.05	749	0.8195	"MinTEs Reduced
Templates (RTs) on
the training set"
5238	0.15	749	0.8072	"MinTEs Reduced
Templates (RTs) on
the training set"
5239	0.25	749	0.8372	"MinTEs Reduced
Templates (RTs) on
the training set"
5240	0.5	749	0.8284	"MinTEs Reduced
Templates (RTs) on
the training set"
5241	0.75	749	0.8152	"MinTEs Reduced
Templates (RTs) on
the training set"
5242	1	749	0.8204	"MinTEs Reduced
Templates (RTs) on
the training set"
5243	Dynamic SR	750	0.8579	"MinTEs Reduced
Templates (RTs) on
the training set"
5244	0.05	750	0.835	"MinTEs Reduced
Templates (RTs) on
the training set"
5245	0.15	750	0.8344	"MinTEs Reduced
Templates (RTs) on
the training set"
5246	0.25	750	0.8379	"MinTEs Reduced
Templates (RTs) on
the training set"
5247	0.5	750	0.8072	"MinTEs Reduced
Templates (RTs) on
the training set"
5248	0.75	750	0.8171	"MinTEs Reduced
Templates (RTs) on
the training set"
5249	1	750	0.8188	"MinTEs Reduced
Templates (RTs) on
the training set"
5250	Dynamic SR	751	0.8659	"MinTEs Reduced
Templates (RTs) on
the training set"
5251	0.05	751	0.8535	"MinTEs Reduced
Templates (RTs) on
the training set"
5252	0.15	751	0.8508	"MinTEs Reduced
Templates (RTs) on
the training set"
5253	0.25	751	0.8343	"MinTEs Reduced
Templates (RTs) on
the training set"
5254	0.5	751	0.8268	"MinTEs Reduced
Templates (RTs) on
the training set"
5255	0.75	751	0.8394	"MinTEs Reduced
Templates (RTs) on
the training set"
5256	1	751	0.8271	"MinTEs Reduced
Templates (RTs) on
the training set"
5257	Dynamic SR	752	0.8664	"MinTEs Reduced
Templates (RTs) on
the training set"
5258	0.05	752	0.8719	"MinTEs Reduced
Templates (RTs) on
the training set"
5259	0.15	752	0.8516	"MinTEs Reduced
Templates (RTs) on
the training set"
5260	0.25	752	0.8491	"MinTEs Reduced
Templates (RTs) on
the training set"
5261	0.5	752	0.8234	"MinTEs Reduced
Templates (RTs) on
the training set"
5262	0.75	752	0.8411	"MinTEs Reduced
Templates (RTs) on
the training set"
5263	1	752	0.8234	"MinTEs Reduced
Templates (RTs) on
the training set"
5264	Dynamic SR	753	0.8531	"MinTEs Reduced
Templates (RTs) on
the training set"
5265	0.05	753	0.8393	"MinTEs Reduced
Templates (RTs) on
the training set"
5266	0.15	753	0.8346	"MinTEs Reduced
Templates (RTs) on
the training set"
5267	0.25	753	0.8334	"MinTEs Reduced
Templates (RTs) on
the training set"
5268	0.5	753	0.8324	"MinTEs Reduced
Templates (RTs) on
the training set"
5269	0.75	753	0.8305	"MinTEs Reduced
Templates (RTs) on
the training set"
5270	1	753	0.824	"MinTEs Reduced
Templates (RTs) on
the training set"
5271	Dynamic SR	754	0.8598	"MinTEs Reduced
Templates (RTs) on
the training set"
5272	0.05	754	0.8328	"MinTEs Reduced
Templates (RTs) on
the training set"
5273	0.15	754	0.838	"MinTEs Reduced
Templates (RTs) on
the training set"
5274	0.25	754	0.8332	"MinTEs Reduced
Templates (RTs) on
the training set"
5275	0.5	754	0.8252	"MinTEs Reduced
Templates (RTs) on
the training set"
5276	0.75	754	0.8237	"MinTEs Reduced
Templates (RTs) on
the training set"
5277	1	754	0.8551	"MinTEs Reduced
Templates (RTs) on
the training set"
5278	Dynamic SR	755	0.8702	"MinTEs Reduced
Templates (RTs) on
the training set"
5279	0.05	755	0.8543	"MinTEs Reduced
Templates (RTs) on
the training set"
5280	0.15	755	0.8321	"MinTEs Reduced
Templates (RTs) on
the training set"
5281	0.25	755	0.8405	"MinTEs Reduced
Templates (RTs) on
the training set"
5282	0.5	755	0.8286	"MinTEs Reduced
Templates (RTs) on
the training set"
5283	0.75	755	0.8467	"MinTEs Reduced
Templates (RTs) on
the training set"
5284	1	755	0.827	"MinTEs Reduced
Templates (RTs) on
the training set"
5285	Dynamic SR	756	0.8581	"MinTEs Reduced
Templates (RTs) on
the training set"
5286	0.05	756	0.8138	"MinTEs Reduced
Templates (RTs) on
the training set"
5287	0.15	756	0.836	"MinTEs Reduced
Templates (RTs) on
the training set"
5288	0.25	756	0.8471	"MinTEs Reduced
Templates (RTs) on
the training set"
5289	0.5	756	0.8393	"MinTEs Reduced
Templates (RTs) on
the training set"
5290	0.75	756	0.8286	"MinTEs Reduced
Templates (RTs) on
the training set"
5291	1	756	0.806	"MinTEs Reduced
Templates (RTs) on
the training set"
5292	Dynamic SR	757	0.8598	"MinTEs Reduced
Templates (RTs) on
the training set"
5293	0.05	757	0.8249	"MinTEs Reduced
Templates (RTs) on
the training set"
5294	0.15	757	0.8257	"MinTEs Reduced
Templates (RTs) on
the training set"
5295	0.25	757	0.8439	"MinTEs Reduced
Templates (RTs) on
the training set"
5296	0.5	757	0.8187	"MinTEs Reduced
Templates (RTs) on
the training set"
5297	0.75	757	0.8266	"MinTEs Reduced
Templates (RTs) on
the training set"
5298	1	757	0.8332	"MinTEs Reduced
Templates (RTs) on
the training set"
5299	Dynamic SR	758	0.8578	"MinTEs Reduced
Templates (RTs) on
the training set"
5300	0.05	758	0.8394	"MinTEs Reduced
Templates (RTs) on
the training set"
5301	0.15	758	0.8313	"MinTEs Reduced
Templates (RTs) on
the training set"
5302	0.25	758	0.8299	"MinTEs Reduced
Templates (RTs) on
the training set"
5303	0.5	758	0.8265	"MinTEs Reduced
Templates (RTs) on
the training set"
5304	0.75	758	0.8372	"MinTEs Reduced
Templates (RTs) on
the training set"
5305	1	758	0.8129	"MinTEs Reduced
Templates (RTs) on
the training set"
5306	Dynamic SR	759	0.8716	"MinTEs Reduced
Templates (RTs) on
the training set"
5307	0.05	759	0.8479	"MinTEs Reduced
Templates (RTs) on
the training set"
5308	0.15	759	0.8426	"MinTEs Reduced
Templates (RTs) on
the training set"
5309	0.25	759	0.8366	"MinTEs Reduced
Templates (RTs) on
the training set"
5310	0.5	759	0.8364	"MinTEs Reduced
Templates (RTs) on
the training set"
5311	0.75	759	0.8364	"MinTEs Reduced
Templates (RTs) on
the training set"
5312	1	759	0.8364	"MinTEs Reduced
Templates (RTs) on
the training set"
5313	Dynamic SR	760	0.8472	"MinTEs Reduced
Templates (RTs) on
the training set"
5314	0.05	760	0.841	"MinTEs Reduced
Templates (RTs) on
the training set"
5315	0.15	760	0.8508	"MinTEs Reduced
Templates (RTs) on
the training set"
5316	0.25	760	0.8343	"MinTEs Reduced
Templates (RTs) on
the training set"
5317	0.5	760	0.8242	"MinTEs Reduced
Templates (RTs) on
the training set"
5318	0.75	760	0.8277	"MinTEs Reduced
Templates (RTs) on
the training set"
5319	1	760	0.8366	"MinTEs Reduced
Templates (RTs) on
the training set"
5320	Dynamic SR	761	0.8717	"MinTEs Reduced
Templates (RTs) on
the training set"
5321	0.05	761	0.8566	"MinTEs Reduced
Templates (RTs) on
the training set"
5322	0.15	761	0.8225	"MinTEs Reduced
Templates (RTs) on
the training set"
5323	0.25	761	0.8357	"MinTEs Reduced
Templates (RTs) on
the training set"
5324	0.5	761	0.8389	"MinTEs Reduced
Templates (RTs) on
the training set"
5325	0.75	761	0.8387	"MinTEs Reduced
Templates (RTs) on
the training set"
5326	1	761	0.8258	"MinTEs Reduced
Templates (RTs) on
the training set"
5327	Dynamic SR	762	0.8638	"MinTEs Reduced
Templates (RTs) on
the training set"
5328	0.05	762	0.8574	"MinTEs Reduced
Templates (RTs) on
the training set"
5329	0.15	762	0.8495	"MinTEs Reduced
Templates (RTs) on
the training set"
5330	0.25	762	0.8333	"MinTEs Reduced
Templates (RTs) on
the training set"
5331	0.5	762	0.8373	"MinTEs Reduced
Templates (RTs) on
the training set"
5332	0.75	762	0.8276	"MinTEs Reduced
Templates (RTs) on
the training set"
5333	1	762	0.8295	"MinTEs Reduced
Templates (RTs) on
the training set"
5334	Dynamic SR	763	0.8593	"MinTEs Reduced
Templates (RTs) on
the training set"
5335	0.05	763	0.8292	"MinTEs Reduced
Templates (RTs) on
the training set"
5336	0.15	763	0.8394	"MinTEs Reduced
Templates (RTs) on
the training set"
5337	0.25	763	0.8258	"MinTEs Reduced
Templates (RTs) on
the training set"
5338	0.5	763	0.8348	"MinTEs Reduced
Templates (RTs) on
the training set"
5339	0.75	763	0.8287	"MinTEs Reduced
Templates (RTs) on
the training set"
5340	1	763	0.8324	"MinTEs Reduced
Templates (RTs) on
the training set"
5341	Dynamic SR	764	0.844	"MinTEs Reduced
Templates (RTs) on
the training set"
5342	0.05	764	0.8485	"MinTEs Reduced
Templates (RTs) on
the training set"
5343	0.15	764	0.8218	"MinTEs Reduced
Templates (RTs) on
the training set"
5344	0.25	764	0.8349	"MinTEs Reduced
Templates (RTs) on
the training set"
5345	0.5	764	0.8303	"MinTEs Reduced
Templates (RTs) on
the training set"
5346	0.75	764	0.8402	"MinTEs Reduced
Templates (RTs) on
the training set"
5347	1	764	0.8202	"MinTEs Reduced
Templates (RTs) on
the training set"
5348	Dynamic SR	765	0.8367	"MinTEs Reduced
Templates (RTs) on
the training set"
5349	0.05	765	0.845	"MinTEs Reduced
Templates (RTs) on
the training set"
5350	0.15	765	0.8216	"MinTEs Reduced
Templates (RTs) on
the training set"
5351	0.25	765	0.8268	"MinTEs Reduced
Templates (RTs) on
the training set"
5352	0.5	765	0.8217	"MinTEs Reduced
Templates (RTs) on
the training set"
5353	0.75	765	0.8216	"MinTEs Reduced
Templates (RTs) on
the training set"
5354	1	765	0.8341	"MinTEs Reduced
Templates (RTs) on
the training set"
5355	Dynamic SR	766	0.8592	"MinTEs Reduced
Templates (RTs) on
the training set"
5356	0.05	766	0.8508	"MinTEs Reduced
Templates (RTs) on
the training set"
5357	0.15	766	0.8245	"MinTEs Reduced
Templates (RTs) on
the training set"
5358	0.25	766	0.845	"MinTEs Reduced
Templates (RTs) on
the training set"
5359	0.5	766	0.8421	"MinTEs Reduced
Templates (RTs) on
the training set"
5360	0.75	766	0.831	"MinTEs Reduced
Templates (RTs) on
the training set"
5361	1	766	0.8161	"MinTEs Reduced
Templates (RTs) on
the training set"
5362	Dynamic SR	767	0.8541	"MinTEs Reduced
Templates (RTs) on
the training set"
5363	0.05	767	0.8287	"MinTEs Reduced
Templates (RTs) on
the training set"
5364	0.15	767	0.834	"MinTEs Reduced
Templates (RTs) on
the training set"
5365	0.25	767	0.8289	"MinTEs Reduced
Templates (RTs) on
the training set"
5366	0.5	767	0.8498	"MinTEs Reduced
Templates (RTs) on
the training set"
5367	0.75	767	0.821	"MinTEs Reduced
Templates (RTs) on
the training set"
5368	1	767	0.8189	"MinTEs Reduced
Templates (RTs) on
the training set"
5369	Dynamic SR	768	0.8445	"MinTEs Reduced
Templates (RTs) on
the training set"
5370	0.05	768	0.8527	"MinTEs Reduced
Templates (RTs) on
the training set"
5371	0.15	768	0.8111	"MinTEs Reduced
Templates (RTs) on
the training set"
5372	0.25	768	0.819	"MinTEs Reduced
Templates (RTs) on
the training set"
5373	0.5	768	0.8278	"MinTEs Reduced
Templates (RTs) on
the training set"
5374	0.75	768	0.8162	"MinTEs Reduced
Templates (RTs) on
the training set"
5375	1	768	0.8357	"MinTEs Reduced
Templates (RTs) on
the training set"
5376	Dynamic SR	769	0.8544	"MinTEs Reduced
Templates (RTs) on
the training set"
5377	0.05	769	0.8278	"MinTEs Reduced
Templates (RTs) on
the training set"
5378	0.15	769	0.8356	"MinTEs Reduced
Templates (RTs) on
the training set"
5379	0.25	769	0.8101	"MinTEs Reduced
Templates (RTs) on
the training set"
5380	0.5	769	0.8178	"MinTEs Reduced
Templates (RTs) on
the training set"
5381	0.75	769	0.8169	"MinTEs Reduced
Templates (RTs) on
the training set"
5382	1	769	0.8218	"MinTEs Reduced
Templates (RTs) on
the training set"
5383	Dynamic SR	770	0.8451	"MinTEs Reduced
Templates (RTs) on
the training set"
5384	0.05	770	0.8571	"MinTEs Reduced
Templates (RTs) on
the training set"
5385	0.15	770	0.8246	"MinTEs Reduced
Templates (RTs) on
the training set"
5386	0.25	770	0.8457	"MinTEs Reduced
Templates (RTs) on
the training set"
5387	0.5	770	0.8059	"MinTEs Reduced
Templates (RTs) on
the training set"
5388	0.75	770	0.8319	"MinTEs Reduced
Templates (RTs) on
the training set"
5389	1	770	0.8254	"MinTEs Reduced
Templates (RTs) on
the training set"
5390	Dynamic SR	771	0.8669	"MinTEs Reduced
Templates (RTs) on
the training set"
5391	0.05	771	0.8356	"MinTEs Reduced
Templates (RTs) on
the training set"
5392	0.15	771	0.8254	"MinTEs Reduced
Templates (RTs) on
the training set"
5393	0.25	771	0.8254	"MinTEs Reduced
Templates (RTs) on
the training set"
5394	0.5	771	0.8112	"MinTEs Reduced
Templates (RTs) on
the training set"
5395	0.75	771	0.8052	"MinTEs Reduced
Templates (RTs) on
the training set"
5396	1	771	0.8338	"MinTEs Reduced
Templates (RTs) on
the training set"
5397	Dynamic SR	772	0.8646	"MinTEs Reduced
Templates (RTs) on
the training set"
5398	0.05	772	0.861	"MinTEs Reduced
Templates (RTs) on
the training set"
5399	0.15	772	0.8286	"MinTEs Reduced
Templates (RTs) on
the training set"
5400	0.25	772	0.8284	"MinTEs Reduced
Templates (RTs) on
the training set"
5401	0.5	772	0.8157	"MinTEs Reduced
Templates (RTs) on
the training set"
5402	0.75	772	0.8277	"MinTEs Reduced
Templates (RTs) on
the training set"
5403	1	772	0.8279	"MinTEs Reduced
Templates (RTs) on
the training set"
5404	Dynamic SR	773	0.8594	"MinTEs Reduced
Templates (RTs) on
the training set"
5405	0.05	773	0.8424	"MinTEs Reduced
Templates (RTs) on
the training set"
5406	0.15	773	0.8354	"MinTEs Reduced
Templates (RTs) on
the training set"
5407	0.25	773	0.8373	"MinTEs Reduced
Templates (RTs) on
the training set"
5408	0.5	773	0.8427	"MinTEs Reduced
Templates (RTs) on
the training set"
5409	0.75	773	0.834	"MinTEs Reduced
Templates (RTs) on
the training set"
5410	1	773	0.8425	"MinTEs Reduced
Templates (RTs) on
the training set"
5411	Dynamic SR	774	0.8397	"MinTEs Reduced
Templates (RTs) on
the training set"
5412	0.05	774	0.8473	"MinTEs Reduced
Templates (RTs) on
the training set"
5413	0.15	774	0.8425	"MinTEs Reduced
Templates (RTs) on
the training set"
5414	0.25	774	0.8358	"MinTEs Reduced
Templates (RTs) on
the training set"
5415	0.5	774	0.8435	"MinTEs Reduced
Templates (RTs) on
the training set"
5416	0.75	774	0.8211	"MinTEs Reduced
Templates (RTs) on
the training set"
5417	1	774	0.8287	"MinTEs Reduced
Templates (RTs) on
the training set"
5418	Dynamic SR	775	0.8526	"MinTEs Reduced
Templates (RTs) on
the training set"
5419	0.05	775	0.8455	"MinTEs Reduced
Templates (RTs) on
the training set"
5420	0.15	775	0.8273	"MinTEs Reduced
Templates (RTs) on
the training set"
5421	0.25	775	0.8133	"MinTEs Reduced
Templates (RTs) on
the training set"
5422	0.5	775	0.8354	"MinTEs Reduced
Templates (RTs) on
the training set"
5423	0.75	775	0.837	"MinTEs Reduced
Templates (RTs) on
the training set"
5424	1	775	0.825	"MinTEs Reduced
Templates (RTs) on
the training set"
5425	Dynamic SR	776	0.8599	"MinTEs Reduced
Templates (RTs) on
the training set"
5426	0.05	776	0.8226	"MinTEs Reduced
Templates (RTs) on
the training set"
5427	0.15	776	0.8273	"MinTEs Reduced
Templates (RTs) on
the training set"
5428	0.25	776	0.8392	"MinTEs Reduced
Templates (RTs) on
the training set"
5429	0.5	776	0.8322	"MinTEs Reduced
Templates (RTs) on
the training set"
5430	0.75	776	0.843	"MinTEs Reduced
Templates (RTs) on
the training set"
5431	1	776	0.8323	"MinTEs Reduced
Templates (RTs) on
the training set"
5432	Dynamic SR	777	0.8612	"MinTEs Reduced
Templates (RTs) on
the training set"
5433	0.05	777	0.8416	"MinTEs Reduced
Templates (RTs) on
the training set"
5434	0.15	777	0.8239	"MinTEs Reduced
Templates (RTs) on
the training set"
5435	0.25	777	0.8304	"MinTEs Reduced
Templates (RTs) on
the training set"
5436	0.5	777	0.8382	"MinTEs Reduced
Templates (RTs) on
the training set"
5437	0.75	777	0.8248	"MinTEs Reduced
Templates (RTs) on
the training set"
5438	1	777	0.8333	"MinTEs Reduced
Templates (RTs) on
the training set"
5439	Dynamic SR	778	0.8537	"MinTEs Reduced
Templates (RTs) on
the training set"
5440	0.05	778	0.8475	"MinTEs Reduced
Templates (RTs) on
the training set"
5441	0.15	778	0.8463	"MinTEs Reduced
Templates (RTs) on
the training set"
5442	0.25	778	0.8294	"MinTEs Reduced
Templates (RTs) on
the training set"
5443	0.5	778	0.8217	"MinTEs Reduced
Templates (RTs) on
the training set"
5444	0.75	778	0.8166	"MinTEs Reduced
Templates (RTs) on
the training set"
5445	1	778	0.8177	"MinTEs Reduced
Templates (RTs) on
the training set"
5446	Dynamic SR	779	0.8632	"MinTEs Reduced
Templates (RTs) on
the training set"
5447	0.05	779	0.8639	"MinTEs Reduced
Templates (RTs) on
the training set"
5448	0.15	779	0.831	"MinTEs Reduced
Templates (RTs) on
the training set"
5449	0.25	779	0.8328	"MinTEs Reduced
Templates (RTs) on
the training set"
5450	0.5	779	0.8252	"MinTEs Reduced
Templates (RTs) on
the training set"
5451	0.75	779	0.8322	"MinTEs Reduced
Templates (RTs) on
the training set"
5452	1	779	0.8223	"MinTEs Reduced
Templates (RTs) on
the training set"
5453	Dynamic SR	780	0.8589	"MinTEs Reduced
Templates (RTs) on
the training set"
5454	0.05	780	0.8283	"MinTEs Reduced
Templates (RTs) on
the training set"
5455	0.15	780	0.833	"MinTEs Reduced
Templates (RTs) on
the training set"
5456	0.25	780	0.8334	"MinTEs Reduced
Templates (RTs) on
the training set"
5457	0.5	780	0.8259	"MinTEs Reduced
Templates (RTs) on
the training set"
5458	0.75	780	0.8165	"MinTEs Reduced
Templates (RTs) on
the training set"
5459	1	780	0.8357	"MinTEs Reduced
Templates (RTs) on
the training set"
5460	Dynamic SR	781	0.8516	"MinTEs Reduced
Templates (RTs) on
the training set"
5461	0.05	781	0.8155	"MinTEs Reduced
Templates (RTs) on
the training set"
5462	0.15	781	0.8397	"MinTEs Reduced
Templates (RTs) on
the training set"
5463	0.25	781	0.828	"MinTEs Reduced
Templates (RTs) on
the training set"
5464	0.5	781	0.8253	"MinTEs Reduced
Templates (RTs) on
the training set"
5465	0.75	781	0.8274	"MinTEs Reduced
Templates (RTs) on
the training set"
5466	1	781	0.8483	"MinTEs Reduced
Templates (RTs) on
the training set"
5467	Dynamic SR	782	0.8645	"MinTEs Reduced
Templates (RTs) on
the training set"
5468	0.05	782	0.8438	"MinTEs Reduced
Templates (RTs) on
the training set"
5469	0.15	782	0.8387	"MinTEs Reduced
Templates (RTs) on
the training set"
5470	0.25	782	0.8409	"MinTEs Reduced
Templates (RTs) on
the training set"
5471	0.5	782	0.8546	"MinTEs Reduced
Templates (RTs) on
the training set"
5472	0.75	782	0.8295	"MinTEs Reduced
Templates (RTs) on
the training set"
5473	1	782	0.8295	"MinTEs Reduced
Templates (RTs) on
the training set"
5474	Dynamic SR	783	0.8689	"MinTEs Reduced
Templates (RTs) on
the training set"
5475	0.05	783	0.8532	"MinTEs Reduced
Templates (RTs) on
the training set"
5476	0.15	783	0.8532	"MinTEs Reduced
Templates (RTs) on
the training set"
5477	0.25	783	0.8373	"MinTEs Reduced
Templates (RTs) on
the training set"
5478	0.5	783	0.8338	"MinTEs Reduced
Templates (RTs) on
the training set"
5479	0.75	783	0.8296	"MinTEs Reduced
Templates (RTs) on
the training set"
5480	1	783	0.8384	"MinTEs Reduced
Templates (RTs) on
the training set"
5481	Dynamic SR	784	0.8473	"MinTEs Reduced
Templates (RTs) on
the training set"
5482	0.05	784	0.8311	"MinTEs Reduced
Templates (RTs) on
the training set"
5483	0.15	784	0.8361	"MinTEs Reduced
Templates (RTs) on
the training set"
5484	0.25	784	0.833	"MinTEs Reduced
Templates (RTs) on
the training set"
5485	0.5	784	0.8315	"MinTEs Reduced
Templates (RTs) on
the training set"
5486	0.75	784	0.8303	"MinTEs Reduced
Templates (RTs) on
the training set"
5487	1	784	0.8124	"MinTEs Reduced
Templates (RTs) on
the training set"
5488	Dynamic SR	785	0.8511	"MinTEs Reduced
Templates (RTs) on
the training set"
5489	0.05	785	0.8438	"MinTEs Reduced
Templates (RTs) on
the training set"
5490	0.15	785	0.8216	"MinTEs Reduced
Templates (RTs) on
the training set"
5491	0.25	785	0.829	"MinTEs Reduced
Templates (RTs) on
the training set"
5492	0.5	785	0.8256	"MinTEs Reduced
Templates (RTs) on
the training set"
5493	0.75	785	0.8294	"MinTEs Reduced
Templates (RTs) on
the training set"
5494	1	785	0.816	"MinTEs Reduced
Templates (RTs) on
the training set"
5495	Dynamic SR	786	0.8534	"MinTEs Reduced
Templates (RTs) on
the training set"
5496	0.05	786	0.8437	"MinTEs Reduced
Templates (RTs) on
the training set"
5497	0.15	786	0.8393	"MinTEs Reduced
Templates (RTs) on
the training set"
5498	0.25	786	0.8505	"MinTEs Reduced
Templates (RTs) on
the training set"
5499	0.5	786	0.8245	"MinTEs Reduced
Templates (RTs) on
the training set"
5500	0.75	786	0.819	"MinTEs Reduced
Templates (RTs) on
the training set"
5501	1	786	0.831	"MinTEs Reduced
Templates (RTs) on
the training set"
5502	Dynamic SR	787	0.8437	"MinTEs Reduced
Templates (RTs) on
the training set"
5503	0.05	787	0.8386	"MinTEs Reduced
Templates (RTs) on
the training set"
5504	0.15	787	0.8419	"MinTEs Reduced
Templates (RTs) on
the training set"
5505	0.25	787	0.8221	"MinTEs Reduced
Templates (RTs) on
the training set"
5506	0.5	787	0.8212	"MinTEs Reduced
Templates (RTs) on
the training set"
5507	0.75	787	0.8126	"MinTEs Reduced
Templates (RTs) on
the training set"
5508	1	787	0.8205	"MinTEs Reduced
Templates (RTs) on
the training set"
5509	Dynamic SR	788	0.8654	"MinTEs Reduced
Templates (RTs) on
the training set"
5510	0.05	788	0.8266	"MinTEs Reduced
Templates (RTs) on
the training set"
5511	0.15	788	0.8289	"MinTEs Reduced
Templates (RTs) on
the training set"
5512	0.25	788	0.825	"MinTEs Reduced
Templates (RTs) on
the training set"
5513	0.5	788	0.8242	"MinTEs Reduced
Templates (RTs) on
the training set"
5514	0.75	788	0.8315	"MinTEs Reduced
Templates (RTs) on
the training set"
5515	1	788	0.8315	"MinTEs Reduced
Templates (RTs) on
the training set"
5516	Dynamic SR	789	0.8473	"MinTEs Reduced
Templates (RTs) on
the training set"
5517	0.05	789	0.8428	"MinTEs Reduced
Templates (RTs) on
the training set"
5518	0.15	789	0.8452	"MinTEs Reduced
Templates (RTs) on
the training set"
5519	0.25	789	0.8321	"MinTEs Reduced
Templates (RTs) on
the training set"
5520	0.5	789	0.839	"MinTEs Reduced
Templates (RTs) on
the training set"
5521	0.75	789	0.8189	"MinTEs Reduced
Templates (RTs) on
the training set"
5522	1	789	0.8306	"MinTEs Reduced
Templates (RTs) on
the training set"
5523	Dynamic SR	790	0.8484	"MinTEs Reduced
Templates (RTs) on
the training set"
5524	0.05	790	0.8403	"MinTEs Reduced
Templates (RTs) on
the training set"
5525	0.15	790	0.8221	"MinTEs Reduced
Templates (RTs) on
the training set"
5526	0.25	790	0.8506	"MinTEs Reduced
Templates (RTs) on
the training set"
5527	0.5	790	0.8374	"MinTEs Reduced
Templates (RTs) on
the training set"
5528	0.75	790	0.8166	"MinTEs Reduced
Templates (RTs) on
the training set"
5529	1	790	0.8328	"MinTEs Reduced
Templates (RTs) on
the training set"
5530	Dynamic SR	791	0.8534	"MinTEs Reduced
Templates (RTs) on
the training set"
5531	0.05	791	0.8289	"MinTEs Reduced
Templates (RTs) on
the training set"
5532	0.15	791	0.8435	"MinTEs Reduced
Templates (RTs) on
the training set"
5533	0.25	791	0.8158	"MinTEs Reduced
Templates (RTs) on
the training set"
5534	0.5	791	0.8294	"MinTEs Reduced
Templates (RTs) on
the training set"
5535	0.75	791	0.8404	"MinTEs Reduced
Templates (RTs) on
the training set"
